student_id,studentized_residual,leverage,cooks_distance,dffits,simulation_influential_case,abs_studentized_residual,abs_dffits
S119,-6.807185423395736,0.10291707321116533,0.8912637345983608,-2.3056585843621553,1,6.807185423395736,2.3056585843621553
S240,-6.0247273874171166,0.11131721750343324,0.7905811635406556,-2.132284688351742,1,6.0247273874171166,2.132284688351742
S028,-3.5871845974351646,0.04874172257575185,0.12552872679454125,-0.8119979606007336,1,3.5871845974351646,0.8119979606007336
S044,-2.7882300145842898,0.030342788115762083,0.0472914144497162,-0.49322743349340525,0,2.7882300145842898,0.49322743349340525
S178,2.0836506278337747,0.0424987882258261,0.03800012497257564,0.4389787612717454,1,2.0836506278337747,0.4389787612717454
S159,-1.9353622148967289,0.033551421228096644,0.025706444100791648,-0.360602175687191,0,1.9353622148967289,0.360602175687191
S097,-1.3037101894707686,0.0649979377653995,0.023560691358003556,-0.3437356402734737,0,1.3037101894707686,0.3437356402734737
S170,-1.4601118089496343,0.04557510263298839,0.020262884543125033,-0.31906492247731755,0,1.4601118089496343,0.31906492247731755
S127,1.9820384218364684,0.02406958231528234,0.019139265733055737,0.31126975143600855,0,1.9820384218364684,0.31126975143600855
S085,-1.8178406030934824,0.0252439100594698,0.016949780125000858,-0.2925405900634994,0,1.8178406030934824,0.2925405900634994
S095,-1.4322441645866302,0.038963662220715706,0.016559434513558697,-0.28838790479857984,0,1.4322441645866302,0.28838790479857984
S113,-1.2984028311940692,0.04342684373299095,0.015262417624879884,-0.27664924676720504,0,1.2984028311940692,0.27664924676720504
S032,-0.6933274578481569,0.11985008651577962,0.013120465740247257,-0.25584636471937916,1,0.6933274578481569,0.25584636471937916
S003,-1.250287875537694,0.040189005168072646,0.01305966241609158,-0.25584137904411774,1,1.250287875537694,0.25584137904411774
S155,-1.5398840446530953,0.024167465874999006,0.011677102114439245,-0.24233488082901128,0,1.5398840446530953,0.24233488082901128
S228,-1.90476388561958,0.015031845991228924,0.010951470579162313,-0.23530773986765155,0,1.90476388561958,0.23530773986765155
S153,-2.281224939230049,0.010399233309543166,0.010745013458385697,-0.23385074627254268,0,2.281224939230049,0.23385074627254268
S049,1.4985995318345373,0.02217708961989788,0.01013326239755425,0.2256876342242851,0,1.4985995318345373,0.2256876342242851
S181,-1.7293040204247536,0.016439130692042364,0.009912592271376563,-0.22356826380539083,0,1.7293040204247536,0.22356826380539083
S037,-1.5324546872351734,0.02076876768008026,0.009904804654518866,-0.2231774842051694,0,1.5324546872351734,0.2231774842051694
S089,-1.2084230243025225,0.030287260624530084,0.009104059066340105,-0.2135637008658678,0,1.2084230243025225,0.2135637008658678
S025,-0.592778856194058,0.10979283528846091,0.00869157844262413,-0.20817767888143124,1,0.592778856194058,0.20817767888143124
S231,1.0737215154840385,0.03571153566450946,0.008533602824891027,0.20662955150371123,0,1.0737215154840385,0.20662955150371123
S084,1.26151076237447,0.025451265247449836,0.008291367076468579,0.20386556142899712,0,1.26151076237447,0.20386556142899712
