student_id,support_requests,exposure_months,stress_score,delivery_format,employment_status,poisson_predicted,pearson_residual,deviance_residual,leverage,cooks_distance
C001,6,7.71,29.8,Face-to-face,Part-time,2.308198990659597,2.4299741903313374,2.0198764465735666,0.00997118398625443,0.010011591713628264
C002,7,10.81,19.5,Hybrid,Part-time,3.282163816003853,2.052154825805858,1.7798957975989491,0.01950655911733019,0.014241649029435678
C003,0,8.2,25.8,Hybrid,Part-time,3.1978462798018503,-1.7882522975804758,-2.5289706521831565,0.013502582660226636,0.007394882410274648
C004,2,5.09,33.3,Face-to-face,Not employed,1.6657499917368266,0.25898017307974713,0.25097178270460285,0.007956187889169242,9.037017197489764e-05
C005,6,8.51,34.5,Hybrid,Full-time,5.418172854564842,0.2499582938113957,0.2456737204375283,0.029656477241443498,0.0003279837991994362
C006,0,7.19,22.8,Hybrid,Not employed,2.367475719610019,-1.5386603652560946,-2.1759943564311093,0.012158379182597042,0.004916265470849736
C007,0,11.39,32.1,Face-to-face,Part-time,3.7361995876806575,-1.9329251376296646,-2.733568944687753,0.016827692740306273,0.010840370272128445
C008,1,9.34,32.8,Face-to-face,Part-time,3.150155680884832,-1.2114455453865864,-1.4161241518775256,0.014504337824091771,0.0036529608413892467
C009,1,8.64,15.4,Hybrid,Not employed,2.120216683774055,-0.7693286618617101,-0.8587181039034485,0.018247095187707812,0.0018675056425803748
C010,3,8.62,32.2,Hybrid,Not employed,4.12348952248705,-0.553269308037738,-0.5817680971118702,0.016748384800868838,0.0008838234104699215
C011,1,8.09,36.5,Face-to-face,Full-time,3.652044890431928,-1.3877550531783165,-1.6472751049910443,0.023637187194898886,0.007958802345133647
C012,4,7.84,27.1,Hybrid,Part-time,3.2195253203936223,0.434973596632723,0.4189678608735045,0.013122617115258639,0.00042488226761040683
C013,1,10.85,29.6,Face-to-face,Not employed,3.065326265863728,-1.1796422394738306,-1.3748979985770977,0.014014865775460487,0.0033434712111021074
C014,0,4.66,40.5,Face-to-face,Not employed,2.030098019259935,-1.4248150824791037,-2.0149928135156885,0.013867813233099853,0.004825068384694047
C015,2,7.98,30.9,Face-to-face,Not employed,2.374006539961456,-0.24273826359125175,-0.24957082785520104,0.010868086505342654,0.000109086219121892
C016,0,6.48,28.2,Face-to-face,Not employed,1.7316669990946734,-1.3159281891861248,-1.8610034922560856,0.00804453563254228,0.0023595531340862086
C017,6,10.63,34.1,Face-to-face,Part-time,3.7752912088795427,1.144980110464451,1.0535491420367238,0.01829362277788102,0.004147449721372108
C018,0,5.15,20.4,Hybrid,Not employed,1.5415260015137167,-1.2415820558922865,-1.7558621822419416,0.009261183075404328,0.002424084283404127
C019,5,5.7,23.3,Hybrid,Full-time,2.325612762377617,1.7537011633236463,1.5184759032782815,0.01472608733632239,0.0077755896595209425
C020,2,5.45,27.9,Face-to-face,Not employed,1.4391605633464373,0.46750248051919113,0.4412140557262577,0.006723844154039424,0.000248252829550816
C021,1,7.16,14.3,Face-to-face,Part-time,1.1579047030356782,-0.14674342667888296,-0.15028387613891003,0.010311876183615516,3.778392185221629e-05
C022,0,7.59,26.5,Face-to-face,Not employed,1.8958192539248335,-1.3768875240646323,-1.9472130103945144,0.009187248416403905,0.002956977121252605
C023,4,8.2,31.1,Online,Full-time,4.739570787496391,-0.3397114941603765,-0.349175916100822,0.02415539059955572,0.0004878900512576432
C024,11,8.85,28.6,Hybrid,Full-time,4.457173755691751,3.099100104619181,2.6055164928829977,0.023469243985285604,0.03939555352192716
