item,one_factor_loading,communality,uniqueness,msa
q1,0.7918031241507746,0.626952187414927,0.373047812585073,0.9514478427925822
q2,0.7472485762411955,0.5583804346944937,0.4416195653055063,0.9453999767320921
q3,0.7960443716945836,0.6336866417066245,0.3663133582933755,0.8132172610542181
q4,0.7395351518234222,0.5469122407824921,0.4530877592175079,0.9699712282581314
q5,0.6961692962185545,0.4846516889974375,0.5153483110025625,0.9340145984967451
q6,0.6680813060100655,0.44633263144011487,0.5536673685598852,0.950515852426684
q7,0.7504796545851453,0.563219711946239,0.436780288053761,0.9452716311045446
q8,0.709073825966426,0.5027856906706654,0.49721430932933464,0.9545546062831274
q9,0.58176867153369,0.33845478717807453,0.6615452128219255,0.9482660046455116
q10,0.39019491572810466,0.1522520722600627,0.8477479277399373,0.8436955351687874
q11,0.7787816742482785,0.6065008961449517,0.39349910385504827,0.8092338084252503
q12,0.3868566544384807,0.1496580710833341,0.8503419289166659,0.8792459149011049
