student_id,final_score,prior_score,study_hours,online_engagement,attendance_rate,academic_self_efficacy,instructional_format,employment_status,fitted,residual,studentized_residual,leverage,cooks_distance,dfbeta_Intercept,"dfbeta_Cinstructional_format,_Treatmentreference_Face-to-faceT.Hybrid","dfbeta_Cinstructional_format,_Treatmentreference_Face-to-faceT.Online","dfbeta_Cemployment_status,_Treatmentreference_Not_employedT.Part-time","dfbeta_Cemployment_status,_Treatmentreference_Not_employedT.Full-time",dfbeta_prior_score,dfbeta_study_hours,dfbeta_online_engagement,dfbeta_attendance_rate,dfbeta_academic_self_efficacy
M001,59.5,58.4,7.6,69.0,78.8,42.4,Face-to-face,Not employed,64.6583226526371,-5.158322652637096,-0.6601031741700659,0.023143038625371513,0.0010345796193905394,-0.03378422786390788,0.047710509409427934,0.05221398847028492,0.050627686108981586,0.044457535162888855,0.02961205466329951,0.021211134777625547,-0.040905642986841365,0.02218405741104726,0.00015864052305569848
M003,63.0,76.7,5.9,58.4,87.1,41.5,Hybrid,Full-time,68.42751364962359,-5.427513649623592,-0.6987841684031934,0.03474511098204606,0.001761164872368295,0.04960187953940594,-0.053933456534670396,-0.001031366353030353,-0.006349564261677694,-0.07453072991060984,-0.04061941154661612,0.009576556956425128,0.0028501170002021795,-0.0600435744485522,0.03572020898897884
M004,70.3,88.8,5.6,65.8,78.8,42.0,Face-to-face,Full-time,71.02303535229245,-0.723035352292456,-0.09364139739579329,0.047861754158097486,4.4248253974355964e-05,0.005751453935562619,0.0072829800418021525,0.007963241163451871,-0.00032304821912678046,-0.007330550994757017,-0.01348137928232069,0.005830805151823521,-0.006275369009145906,-0.0008990184086878234,0.005568204136033865
M005,81.5,80.4,9.1,71.9,95.4,55.0,Hybrid,Not employed,80.63819464553973,0.8618053544602731,0.1107180892698359,0.032382250441631906,4.118188614049459e-05,-0.01126725090875932,0.00888057328538572,-0.001097291895674546,-0.0069849391506957995,-0.0052594767188784775,0.004254421087652645,-0.006994073206851521,0.004243718764118162,0.006267804266758841,0.007903928006167897
M006,51.8,57.9,1.0,29.2,94.1,48.9,Face-to-face,Full-time,47.77697138277592,4.023028617224078,0.5272971542385455,0.06939177238671862,0.00207906913438782,-0.03925245346733552,-0.02055623905578701,-0.021640739948000167,0.013984696618004638,0.05799846854202129,-0.03511513404808249,-0.030339774242385226,-0.035133331394056576,0.07836718528496564,0.04677031240088371
M007,37.6,42.9,5.6,50.9,78.4,42.1,Hybrid,Not employed,54.463188167314755,-16.863188167314753,-2.198557490957848,0.04281041630726513,0.02130204894513784,-0.21635274303717797,-0.20333697849737487,-0.02829691269048351,0.19957716569016443,0.18346212451033372,0.27434513294775476,0.01827902094576845,0.08769639884471185,0.04433385732772823,-0.08102342396789139
M008,72.1,74.9,10.5,76.9,91.7,41.6,Face-to-face,Not employed,78.73902099647619,-6.639020996476191,-0.8516915207025139,0.026873274416097635,0.0020052953829383675,0.023110433289109604,0.0647131016795209,0.05784101938749396,0.04371107422940882,0.014078189441988933,-0.025248046014138326,-0.0062578566903490115,-0.051855558796168086,-0.03521433894563608,0.05695601601746414
M009,77.0,63.6,9.6,87.3,78.2,39.2,Online,Part-time,69.46574656725475,7.5342534327452455,0.9708795643597369,0.03474604149740748,0.0033938378066690742,0.006760073903884043,-0.027287061471967817,0.06764922713454907,0.06555216465043298,0.024874046509480285,-0.018342562600561232,0.054458087248581186,0.0467243963472659,-0.015815240754458896,-0.051703024775534415
M010,58.6,74.0,1.4,43.8,81.8,44.3,Hybrid,Part-time,58.488323746855414,0.11167625314458718,0.014500702791323995,0.05279098706685324,1.176463046874474e-06,-0.00030535231495044257,0.001412089194600401,-0.0002653673024956182,0.0005240009292952129,-0.0010317372917470313,0.0013606432644398812,-0.0020344579556941726,-0.0002680462800093612,5.320299871480079e-06,0.0005538927834028268
M011,59.3,61.6,6.4,66.9,83.4,53.8,Online,Full-time,60.65591404040995,-1.3559140404099495,-0.17538987215825644,0.04542694238520169,0.0001469426810886716,0.012831980044645067,0.0008708761814269126,-0.016993353845954632,-0.0035729655259745933,-0.02134536398315192,0.013762533388799517,-0.005178792197696351,0.001857303789188136,-0.010301998399837314,-0.01778068150161466
M012,51.2,59.0,5.2,44.6,75.4,44.1,Face-to-face,Full-time,54.2306099756344,-3.0306099756343983,-0.3886051043481609,0.02814804401797383,0.00043883026781955703,-0.014931468936488165,0.023880839142278357,0.010802595391126563,-0.006107891198584794,-0.036896782671741894,0.018584234720498184,-0.017335380293780213,0.024517399728839574,-0.0018128737360000521,-0.0065061827723683525
M013,72.6,77.5,7.2,67.7,100.0,45.1,Face-to-face,Not employed,74.69996795566152,-2.0999679556615263,-0.2700419571005181,0.03397591701624276,0.00025740032937233135,0.024876404109150242,0.01664518567741342,0.022754976131353154,0.014724946366399832,0.007927255750101949,-0.012938968670180958,0.022495971052756816,-0.019773082995589514,-0.0275239430698192,0.004437391033994559
M014,79.9,65.8,9.6,63.6,94.7,49.3,Hybrid,Part-time,71.73895506840817,8.161044931591832,1.049710972691355,0.030579876427699448,0.003474494953243931,-0.07512958764796059,0.07425520031719678,0.018061809938760852,0.09977087989018686,0.05494866982809731,-0.050558501482611706,0.047525062277551815,-0.039603736787533594,0.09776433484557061,0.039295874848738664
