item_1,item_2,modification_index,expected_parameter_change_residual_covariance,standardised_residual
q3,q9,10.081050037441278,0.25584969733691026,0.12896746594540465
q7,q8,6.180841988556424,0.19070892278853116,0.09948796079929478
q1,q3,4.7715499160991905,0.1519062528084538,0.06276558227473006
q7,q9,4.5071552863700095,-0.17374644248794519,-0.09793111952434441
q2,q7,4.4894157475153245,0.1478588777239751,0.07824203870283009
q2,q9,4.426135172554443,-0.1681749434592852,-0.09255989367336559
q3,q7,2.7536724718060737,-0.11901829564262811,-0.05548209216957861
q5,q7,2.222970707613805,-0.10309667456254262,-0.05697625151852376
q2,q6,2.040632159823119,0.09749490957753895,0.045950136386394114
q3,q6,1.772614121752666,-0.0933824740583713,-0.038779384372213954
q4,q6,1.7271548437263522,0.08927222257593309,0.042017061500035036
q2,q4,1.3879803978007645,-0.08140153746078603,-0.04049010105465345
q3,q4,1.1607516822844,-0.07561739252189661,-0.033923100453717825
q2,q5,1.0207006651094732,0.0670933914211199,0.03745305794791032
q3,q8,0.9072474659833039,-0.07310602703642886,-0.03302476037142499
q1,q2,0.8794299848500371,-0.06362208531490966,-0.02967662543112204
q1,q9,0.8744985738428164,0.0724876021074332,0.037951049809878346
q4,q8,0.7473327128892223,0.06453208039697218,0.03276274724914541
q5,q9,0.696435932085014,-0.06466828823058073,-0.038838837916532865
q1,q8,0.667747189298495,-0.06072316561267887,-0.028123734970408765
q6,q8,0.639066439858716,-0.06033751524498493,-0.027695892723660354
q3,q5,0.6328107341408854,0.053960124860968864,0.02686934554094389
q1,q6,0.4106417094044401,-0.04323513486607442,-0.01864713998891432
q6,q9,0.40716532560269364,-0.04983415825052769,-0.026275711568284177
q2,q8,0.3251616032805522,-0.04306968890775528,-0.02158721391492585
q8,q9,0.3145227112574428,0.048296273711315056,0.027286499403520348
q4,q9,0.2700655651416293,0.04063699472711803,0.02312424686100395
q6,q7,0.22644343879418083,0.033291794161904927,0.016029999178329146
q1,q4,0.14142580395129145,-0.02536322273921911,-0.011841734256647474
q2,q3,0.12801354708969492,-0.024890501444930116,-0.01148818787261896
q4,q5,0.06688506478915468,0.017164885676407657,0.009491344646873956
q5,q8,0.05802486975782975,-0.017624875797733506,-0.009652412468359517
q1,q7,0.030767596055135838,-0.012033318268178292,-0.005891128627808717
q5,q6,0.008860455798894109,0.006258667924158343,0.003188882077756583
q4,q7,0.007384144313065602,-0.006006931449028026,-0.003131645430501373
q1,q5,0.006702931511718119,-0.005397045057434451,-0.0027328046814059093
