model,parameter,estimate,hc3_standard_error,p_value,ci_low,ci_high
Mediator model,Intercept,26.34191379739721,2.1482746170424663,1.450705361658683e-34,22.1313729190924,30.552454675702023
Mediator model,intervention,3.6162627237300797,0.5967605215963114,1.3627200247954922e-09,2.4466335940059722,4.785891853454187
Mediator model,workload_c,0.05207269982219023,0.04862406353978249,0.28420338899168274,-0.04322871349777062,0.1473741131421511
Mediator model,intervention:workload_c,-0.18242692220983442,0.059933555561513335,0.0023359528656612238,-0.2998945325758308,-0.06495931184383802
Mediator model,baseline_score,0.18030574517718748,0.030554873059748775,3.612017547314981e-09,0.12041929442788671,0.24019219592648824
Outcome model,Intercept,18.066295138759667,2.933101267829542,7.299731080627125e-10,12.317522290804995,23.81506798671434
Outcome model,intervention,-0.17495056758201888,0.8359576910256353,0.8342284106376421,-1.8133975345915265,1.4634963994274888
Outcome model,self_efficacy,0.60923319776544,0.06485704973905251,5.8051617365547664e-21,0.48211571613337423,0.7363506793975059
Outcome model,workload_c,-0.10821307249765927,0.04181363138237772,0.009653903914473655,-0.19016628406995334,-0.026259860925365197
Outcome model,baseline_score,0.402961385375701,0.039151238790559664,7.622791755585672e-25,0.3262263673960765,0.47969640335532543
