,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
q1,0.0,0.0058594402476689345,-0.015787524964956834,0.0025297520244100813,-0.013783615026589313,-0.045538165797256835,0.043407705007738606,-0.029292985251209713,9.339260462887244e-05,0.03523260328313771,-0.010773338089329454,0.07527252378199423
q2,0.0058594402476689345,0.0,-0.030074619731102814,-0.0037976583978295286,-0.034343006110508,0.049817377852175715,0.008532181927941695,0.036275647294292,0.001291879322128986,0.02476225508759977,-0.05511014362838418,0.03390392807784193
q3,-0.015787524964956834,-0.030074619731102814,0.0,-0.001965231559482916,-0.025841599226641532,-0.00519900624791958,-0.03750413976411482,-0.06974689028459974,-0.09109952621979478,-0.05448185525814614,0.2894546679785933,-0.04051163421945192
q4,0.0025297520244100813,-0.0037976583978295286,-0.001965231559482916,0.0,0.012060260089269526,-0.011176047636913655,0.0027275006223476117,0.014839103134063558,0.020438055531767696,-0.021490155708173253,0.00012353118570451738,-0.03799948152519228
q5,-0.013783615026589313,-0.034343006110508,-0.025841599226641532,0.012060260089269526,0.0,0.05688347233823027,0.010746191215001533,0.01981783698057532,0.04530446330977472,0.08233568820421883,-0.05712053614461493,-0.06692504231968929
q6,-0.045538165797256835,0.049817377852175715,-0.00519900624791958,-0.011176047636913655,0.05688347233823027,0.0,-0.009938500187335553,6.109124496006535e-05,0.03717293709799402,-0.07094910731473178,-0.005573392232531504,-0.027275727027892605
q7,0.043407705007738606,0.008532181927941695,-0.03750413976411482,0.0027275006223476117,0.010746191215001533,-0.009938500187335553,0.0,0.010496143036819894,0.00370301025545694,-0.06804866136074475,-0.0039154652629006526,0.016169112878900105
q8,-0.029292985251209713,0.036275647294292,-0.06974689028459974,0.014839103134063558,0.01981783698057532,6.109124496006535e-05,0.010496143036819894,0.0,0.07619715568772839,0.05292506776812428,-0.061787030864340176,0.00532190355016765
q9,9.339260462887244e-05,0.001291879322128986,-0.09109952621979478,0.020438055531767696,0.04530446330977472,0.03717293709799402,0.00370301025545694,0.07619715568772839,0.0,0.03401574543403779,-0.06689847730764897,-0.0465048786787797
q10,0.03523260328313771,0.02476225508759977,-0.05448185525814614,-0.021490155708173253,0.08233568820421883,-0.07094910731473178,-0.06804866136074475,0.05292506776812428,0.03401574543403779,0.0,-0.10099741723340341,0.1947725258981443
q11,-0.010773338089329454,-0.05511014362838418,0.2894546679785933,0.00012353118570451738,-0.05712053614461493,-0.005573392232531504,-0.0039154652629006526,-0.061787030864340176,-0.06689847730764897,-0.10099741723340341,0.0,-0.031617960044323545
q12,0.07527252378199423,0.03390392807784193,-0.04051163421945192,-0.03799948152519228,-0.06692504231968929,-0.027275727027892605,0.016169112878900105,0.00532190355016765,-0.0465048786787797,0.1947725258981443,-0.031617960044323545,0.0
